Type,lat,lng,city,state,Sentiment
Like,33.811712,-118.318592,Torrance,California,1
Like,30.047059,-95.184196,Houston,Texas,1
Like,29.784753,-95.361416,Houston,Texas,1
Retweet,41.113201,-85.128679,Fort Wayne,Indiana,NA
